Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
1,200.0%,4.0000,0.00,0.00,0.00
2,150.0%,2.0000,0.00,0.00,0.00
3,133.3%,1.3333,0.00,0.00,0.00
4,125.0%,1.0000,0.00,0.00,0.00
5,120.0%,0.8000,0.00,0.00,0.00
6,116.7%,0.6667,0.00,0.00,0.00
7,114.3%,0.5714,0.00,0.00,0.00
8,112.5%,0.5000,0.00,0.00,0.00
9,111.1%,0.4444,0.00,0.00,0.00
10,110.0%,0.4000,0.00,0.00,0.00
11,109.1%,0.3636,0.00,0.00,0.00
12,108.3%,0.3333,0.00,0.00,0.00
13,107.7%,0.3077,0.00,0.00,0.00
14,107.1%,0.2857,0.00,0.00,0.00
15,106.7%,0.2667,0.00,0.00,0.00
16,106.2%,0.2500,0.00,0.00,0.00
17,105.9%,0.2353,0.00,0.00,0.00
18,105.6%,0.2222,3.75,1.75,0.75
19,105.3%,0.2105,3.75,1.75,0.75
20,105.0%,0.2000,7.00,3.75,1.25
21,104.8%,0.1905,7.00,3.75,1.25
22,104.5%,0.1818,7.00,3.75,1.25
23,104.3%,0.1739,7.00,3.75,1.25
24,104.2%,0.1667,7.00,3.75,1.25
25,104.0%,0.1600,7.00,3.75,1.25
26,103.8%,0.1538,7.00,3.75,1.25
27,103.7%,0.1481,7.00,3.75,1.25
28,103.6%,0.1429,14.00,6.00,1.25
29,103.4%,0.1379,14.00,6.00,1.25
30,100.0%,0.1333,20.25,9.75,1.25
