Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
1,200.0%,4.0000,0.00,0.00,0.00
2,150.0%,2.0000,0.00,0.00,0.00
3,133.3%,1.3333,0.00,0.00,0.00
4,125.0%,1.0000,0.00,0.00,0.00
5,120.0%,0.8000,0.00,0.00,0.00
6,116.7%,0.6667,0.00,0.00,0.00
7,114.3%,0.5714,0.00,0.00,0.00
8,112.5%,0.5000,0.00,0.00,0.00
9,111.1%,0.4444,1.50,0.25,0.25
10,110.0%,0.4000,1.50,0.25,0.25
11,109.1%,0.3636,1.50,0.25,0.25
12,108.3%,0.3333,1.50,0.25,0.25
13,107.7%,0.3077,1.50,0.25,0.25
14,107.1%,0.2857,1.50,0.25,0.25
15,106.7%,0.2667,1.50,0.25,0.25
16,106.2%,0.2500,3.75,1.00,0.75
17,105.9%,0.2353,3.75,1.00,0.75
18,105.6%,0.2222,3.75,1.00,0.75
19,105.3%,0.2105,3.75,1.00,0.75
20,105.0%,0.2000,3.75,1.00,0.75
21,104.8%,0.1905,3.75,1.00,0.75
22,104.5%,0.1818,3.75,1.00,0.75
23,104.3%,0.1739,3.75,1.00,0.75
24,104.2%,0.1667,3.75,1.00,0.75
25,104.0%,0.1600,3.75,1.00,0.75
26,103.8%,0.1538,3.75,1.00,0.75
27,103.7%,0.1481,10.50,2.50,0.75
28,100.0%,0.1429,10.50,2.50,0.75
29,100.0%,0.1379,10.50,2.50,0.75
30,100.0%,0.1333,10.50,2.50,0.75
31,100.0%,0.1290,10.50,2.50,0.75
32,100.0%,0.1250,10.50,2.50,0.75
33,100.0%,0.1212,10.50,2.50,0.75
34,100.0%,0.1176,10.50,2.50,0.75
35,100.0%,0.1143,10.50,2.50,0.75
36,100.0%,0.1111,10.50,2.50,0.75
37,97.3%,0.1081,19.25,7.00,2.75
